Symbol	Description
QID	Ultrashort QQQ Proshares
QLD	Ultra QQQ Proshares
QLTA	AAA - A Rated Corporate Bond Ishares
QLTB	BAA - BA Rated Corporate Bond Fund Ishares
QLTC	B-Ca Rated Corporate Bond Fund Ishares
QMM	Quaterra Resources Inc
QMN	IQ Hedge Market Neutral Tracker
QQQE	Nasdaq-100 Equal Wtd Idx Direxion
QRM	Quest Rare Minerals Ltd
QUAL	Ishares MSCI USA Quality Factor
RALS	Rafi Long/Short Proshares Proshares
RAVI	Flexshares Ready Access Variabl
RBL	SPDR S&P Russia
RBY	Rubicon Minerals Corp
RCD	S&P 500 Cons Discre Equal Weight Guggenheim
RCG	Renaissance Capital Growth & Income Fund III
RDIV	Revenueshares Ultra Dividend Fund
REE	Rare Element Res Ltd
REED	Reeds
REI	Ring Energy Inc
REK	Short Real Estate Proshares
REM	FTSE Nareit Mort Plus Cp Idx Ishares
REMX	Rare Earth/Str Metals ETF Market Vectors
RETL	Retail Bull 3X Direxion
REW	Ultrashort Technology Proshares
REZ	FTSE Nareit Resid Plus Cp Idx Ishares
RFG	S&P Midcap 400 Pure Growth Guggenheim
RFV	S&P Midcap 400 Pure Value Guggenheim
RGI	S&P 500 Industrials Equal Weight Guggenheim
RGRA	RBS Rogers Enhanced Agriculture
RGRC	RBS Rogers Enhanced Commodity E
RGRE	RBS Rogers Enhanced Energy ETN
RGRI	RBS Rogers Enhanced Industrial
RGRP	RBS Rogers Enhanced Precious Me
RHS	S&P 500 Cons Staples Equal Weight Guggenheim
RIC	Richmont Mines
RIF	Rmr Real Estate Income Fund
RIGS	Riverfront Strategic Income Fun
RINF	30 Year Tips/Tsy Spread Proshares
RING	Global Gold Miners MSCI Ishares
RJA	Rogers Agriculture ETN Elements
RJI	Rogers Commodity ETN Elements
RJN	Rogers Energy ETN Elements
RJZ	Rogers Metal ETN Elements
RKH	Bank And Brokerage ETF Market Vectors
RLGT	Radiant Logistics
RLY	SPDR SSGA Multi-Asset Real Return ETF
RNN	Rexahn Pharmaceuticals
ROLA	Long Extd Russell 1000 TR ETN Ipath
ROM	Ultra Technology Proshares
ROOF	IQ US Real Estate Smallcap ETF
ROX	Castle Brands
RPG	S&P 500 Pure Growth Guggenheim
RPI	Roberts Realty Investors
RPV	S&P 500 Pure Value Guggenheim
RPX	Growth Equity Strategy Fund
RRF	Global Real Return Wisdomtree
RRGR	Advisorshares Global Alpha & Be
RSCO	SPDR Russell Small Cap Completeness ETF
RSP	S&P 500 Index Equal Weight Guggenheim
RSX	Russia ETF Market Vectors
RSXJ	Russia Smallcap ETF Market Vectors
RTH	Retail ETF Market Vectors
RTL	FTSE Nareit Retail Cp Idx Ishares
RTLA	Long Extd Russell 2000 TR ETN Ipath
RTM	S&P 500 Materials Equal Weight Guggenheim
RTR	Revenueshares ADR
RUSL	Russia Bull 3X Direxion
RUSS	Russia Bear 3X Direxion
RVM	Revett Minerals Inc
RVNU	Db-X-Trackers Municipal Infrast
RVP	Retractable Technologies
RWC	Relm Wireless Corp.
RWG	Columbia Select Large Cap Growth ETF
RWJ	Revenueshares Smallcap
RWK	Revenueshares Midcap
RWL	Revenueshares Largecap
RWM	Short Russell 2000 Proshares
RWO	SPDR DJ Global Real Estate
RWR	SPDR DJ REIT
RWV	Revenueshares Navellier Overall A-100
RWW	Revenueshares Financials Sector
RWX	SPDR DJ Intl Real Estate
RWXL	Monthly Pay 2X DJ Intl Rl Est ETN UBS E-Tracs
RXD	Ultrashort Health Care Proshares
RXI	S&P Global Cons Discretionary Ishares
RXL	Ultra Health Care Proshares
RYE	S&P 500 Energy Equal Weight Guggenheim
RYF	S&P 500 Financials Equal Weight Guggenheim
RYH	S&P 500 Healthcare Equal Weight Guggenheim
RYJ	Raymond James Sb-1 Equity Guggenheim
RYT	S&P 500 Technology Equal Weight Guggenheim
RYU	S&P 500 Utilities Equal Weight Guggenheim
RZG	S&P Smallcap 600 Pure Growth Guggenheim
RZV	S&P Smallcap 600 Pure Value Guggenheim
SAA	Ultra Smallcap 600 Proshares
SAGG	Total Bond Market Bear 1X Direxion
SAND	Sandstorm Gold Ltd.
SARA	Saratoga Res Inc
SBB	Short Smallcap 600 Proshares
SBI	Western Asset Intermediate Fund Inc
SBM	Short Basic Materials Proshares
SBND	DB 3X Short 25+ Yr Trsy Bd ETN Powershares
SBV	Ipath Pure Beta Broad Commodity
SCC	Ultrashort Consumer Services Proshares
SCE-B	South CA Edis 408 Pf
SCE-C	South CA Edis 424 Pf
SCE-D	South CA Edis 431 Pf
SCE-E	South CA Edis 478 Pf
SCHA	Schwab US Smallcap ETF
SCHB	Schwab US Broad Market ETF
SCHC	Schwab Intl Smallcap Eq ETF
SCHD	Schwab US Dividend Equity ETF
SCHE	Schwab Emrg Mkts Equity ETF
SCHF	Schwab Intl Equity ETF
SCHG	Schwab US Largecap Growth ETF
SCHH	Schwab US REIT ETF
SCHM	Schwab US Midcap ETF
SCHO	Schwab Short-Term US Trsy ETF
SCHP	Schwab US Tips ETF
SCHR	Schwab Interm-Term U.S. Trsy ETF
SCHV	Schwab US Largecap Value ETF
SCHX	Schwab US Largecap ETF
SCHZ	Schwab US Aggregate Bond ETF
SCIF	India Smallcap ETF Market Vectors
SCIN	India Smallcap Egshares
SCJ	Japan Smallcap Index MSCI Ishares
SCO	Ultrashort DJ-UBS Crude Oil Proshares
SCPB	SPDR Short-Term Corp Bd Barclays Capital
SCT	Bank Of America Corp.
SCZ	EAFE Smallcap Index MSCI Ishares
SDA	Bank Of America Corp.
SDD	Ultrashort Smallcap 600 Proshares
SDIV	G-X Superdividend ETF
SDK	Ultrashort Russell Mcap Growth Proshares
SDOG	Alps Sector Dividend Dogs ETF
SDOW	Ultrapro Short DOW 30 Proshares
SDP	Ultrashort Utilities Proshares
SDS	Ultrashort S&P 500 Proshares
SDY	SPDR S&P Dividend
SDYL	Monthly Pay 2X S&P Dividend ETN Etracs
SEA	Shipping Guggenheim
SEB	Seaboard Corp.
SED	Sun Entertainment Holding Corporation
SEF	Short Financials Proshares
SFK	Ultrashort Russell 1000 Growth Proshares
SFLA	Long Extd S&P 500 TR ETN Ipath
SGA	Saga Communications
SGAR	Sugar Pure Beta ETN Ipath
SGB	Southwest Georgia Financial Corp.
SGG	DJ-UBS Sugar TR Sub-Idx ETN Ipath
SGOL	Physical Swiss Gold
SH	Short S&P 500 Proshares
SHM	SPDR S/T Muni Bd Barclays Capital
SHN	Bank Of America Corp.
SHV	Short-Treasury Bond Ishares
SHY	1-3 Year Treasury Bond Ishares
SHYG	Ishares 0-5 Year High Yield Cor
SIF	Sifco Industries
SIJ	Ultrashort Industrials Proshares
SIL	G-X Silver Miners ETF
SILJ	Purefunds ISE Junior Silver [Sm
SIM	Grupo Simec S.A. De C.V.
SINF	Ultrapro Short 10 Yr Tips/Tsy Sp Proshares
SIVR	Physical Silver
SIZ	US Size Market Neutral ETF Quantshares
SIZE	Ishares MSCI USA Size Factor
SJB	Short High Yield Proshares
SJF	Ultrashort Russell 1000 Value Proshares
SJH	Ultrashort Russell 2000 Value Proshares
SJL	Ultrashort Russell Midcap Val Proshares
SJNK	SPDR ST High Yield Bond ETF Barclays Capital
SKF	Ultrashort Financials Proshares
SKK	Ultrashort Russell 2000 Growth Proshares
SKY	Skyline Corp.
SLI	Sl Industries
SLQD	Ishares 0-5 Year Investment Gra
SLV	Silver Trust Ishares
SLVP	Global Silver Miners MSCI Ishares
SLX	Steel ETF Market Vectors
SLY	SPDR DJ Smallcap ETF
SLYG	SPDR DJ Smallcap Growth ETF
SLYV	SPDR DJ Smallcap Value ETF
SMB	Short Municipal Index ETF Market Vectors
SMDD	Ultrapro Short Midcap 400 Proshares
SMH	Semiconductor ETF Market Vectors
SMIN	India Smallcap Index Fund MSCI Ishares
SMK	Ultrashort MSCI Mexico Proshares
SMLV	SPDR Russell 2000 Low Volatilit
SMMU	Short-Term Muni Bond Strgy ETF Pimco
SMN	Ultrashort Basic Materials Proshares
SMU	Bank Of America Corp.
SNLN	Pyxis/Iboxx Senior Loan ETF
SOIL	G-X Fertilizers/Potash ETF
SOQ	Sonde Resources Corp
SOXL	Semiconductor Bull 3X Direxion
SOXS	Semiconductor Bear 3X Direxion
SOYB	Teucrium Soybean
SPFF	Global X Superincome Preferred
SPGH	S&P 500 Gold Hedged Idx ETN UBS E-Tracs
SPHB	S&P 500 High Beta Powershares
SPHD	Powershares S&P 500 High Divide
SPHQ	S&P 500 High Quality Powershares
SPLV	S&P 500 Low Volatility Powershares
SPPP	Sprott Physical Platinum And Pa
SPXH	Velocityshares Volatility Hedge
SPXL	Direxion Daily S&P 500 Bull 3X Shares
SPXS	Direxion Daily S&P 500 Bear 3X Shares
SPXU	Ultrapro Short S&P 500 Proshares
SPY	SPDR S&P 500 ETF
SPYG	SPDR DJ Largecap Growth ETF
SPYV	SPDR DJ Largecap Value ETF
SRLN	SPDR Blackstone Gso Senior Loan
SRS	Ultrashort Real Estate Proshares
SRTY	Ultrapro Short Russell 2000 Proshares
SSG	Ultrashort Semiconductors Proshares
SSN	Samson Oil & Gas Limited
SSO	Ultra S&P 500 Proshares
SST	SPDR Short-Term Trsy Bond Barclays Capital
SSY	Sunlink Health Systems
STIP	0-5 Year Tips Bond Ishares
STPP	US Trsy Steepener ETN Ipath
STPZ	1-5 Year US Tips Index ETF Pimco
STRP	Straight Path Communications In
STS	Supreme Industries
SUB	S&P S/T Natnl Amt-Free Muni Bd Ishares
SVBL	Silver Bull Resources Inc
SVLC	Silvercrest Mines
SVT	Servotronics
SVXY	Short VIX Short-Term Fut ETF Proshares
SYLD	Cambria Shareholder Yield ETF
SYN	Synthetic Biologics Inc
SYRG	Synergy Resources Cp
SZK	Ultrashort Consumer Goods Proshares
SZO	DB Crude Oil Short ETN Powershares
TAGS	Teucrium Agricultural
TAN	Solar ETF Guggenheim
TAO	China Real Estate Guggenheim
TAS	Tasman Metals
TAT	Transatlantic Petroleum Ltd
TBAR	RBS Gold Trendpilot ETN
TBF	Short 20+ Year Treasury Proshares
TBT	Ultrashort 20+ Year Treasury Proshares
TBX	Short 7-10 Year Treasury Proshares
TBZ	Ultrashort 3-7 Year Treasury Proshares
TCHI	RBS China Trendpilot ETN
TCX	Tucows Inc
TDD	DB-X 2010 Target Date ETF
TDH	DB-X 2020 Target Date ETF
TDN	DB-X 2030 Target Date ETF
TDTF	Iboxx 5Yr Target Dur Tips ETF Flexshares
TDTT	Iboxx 3Yr Target Dur Tips ETF Flexshares
TDV	DB-X 2040 Target Date ETF
TDX	DB-X In-Target Date ETF
TECL	Technology Bull 3X Direxion
TECS	Technology Bear 3X Direxion
TENZ	7-15 Yr Trsy Index ETF Pimco
TFI	SPDR Muni Bond Barclays Capital
TGB	Taseko Mines Limited
TGC	Tengasco
TGD	Timmins Gold Corp
TGR	S&P Target Date Retirement Inc Ishares
THD	Thailand Invest Mkt Index MSCI Ishares
THHY	Market Vectors Treasury-Hedged
THM	International Tower Hill Mines Ltd
THRK	SPDR Russell 3000 ETF
TIK	Tel-Instrument Electronics
TILT	Mstar US Mkt Factors Tilt ETF Flexshares
TIP	Tips Bond Ishares
TIPX	SPDR Barclays 1-10 Year Tips
TIPZ	Broad U.S. Tips Index ETF Pimco
TIS	Orchids Paper Products Company
TLH	10-20 Year Treasury Bd Ishares
TLL	Ultrashort Telecommunications Proshares
TLO	SPDR Long-Term Treasury Barclays Capital
TLR	Timberline Resources Corp.
TLT	20+ Year Trsy Bond Ishares
TLTD	Flexshares Morningstar Develope
TLTE	Flexshares Morningstar Emerging
TMF	20+ Year Trsy Bull 3X Direxion
TMP	Tompkinstrustco
TMV	20+ Year Trsy Bear 3X Direxion
TNA	Smallcap Bull 3X Direxion
TNDQ	RBS Nasdaq 100 Trendpilot ETN
TOF	Tofutti Brands Inc.
TOK	Kokusai Index MSCI Ishares
TOTS	Total Market Bear 1X Direxion
TPI	Tianyin Pharmaceutical Co.
TPLM	Triangle Petroleum Corp.
TPS	Ultrashort Tips Proshares
TRND	RBS US Largecap Trendpilot ETN
TRNM	RBS US Midcap Trendpilot ETN
TRSK	Velocityshares Tail Risk Hedged
TRSY	Broad U.S. Treasury Index ETF Pimco
TRT	Trio-Tech International
TRX	Tanzanian Royalty Exploration Corp.
TSH	Teche Holding Company
TTFS	Trimtabs Float Shrink ETF
TTT	Ultrapro Short 20+ Year Trsy Proshares
TUR	Turkey Invest Mkt Index MSCI Ishares
TUZ	1-3 Year US Treasury Index ETF Pimco
TVIX	Daily 2X VIX ST ETN Velocityshares
TVIZ	Daily 2X VIX Med-Term ETN Velocityshares
TWM	Ultrashort Russell 2000 Proshares
TWO.W	Two Harbors Investment Corp
TWOK	SPDR Russell 2000 ETF
TWQ	Ultrashort Russell 3000 Proshares
TWTI	RBS Oil Trendpilot ETN
TXMD	Therapeuticsmd Inc
TYBS	20+ Year Trsy Bear 1X Direxion
TYD	7-10 Yr Trsy Bull 3X Direxion
TYNS	7-10 Yr Trsy Bear 1X Direxion
TYO	7-10 Yr Trsy Bear 3X Direxion
TZA	Smallcap Bear 3X Direxion
TZD	S&P Target Date 2010 Ishares
TZE	S&P Target Date 2015 Ishares
TZG	S&P Target Date 2020 Ishares
TZI	S&P Target Date 2025 Ishares
TZL	S&P Target Date 2030 Ishares
TZO	S&P Target Date 2035 Ishares
TZV	S&P Target Date 2040 Ishares
TZW	S&P Target Date 2045 Ishares
TZY	S&P Target Date 2050 Ishares
UAG	CMCI Agriculture TR ETN UBS E-Tracs
UAMY	U S Antimony Corp
UBC	CMCI Livestock TR ETN UBS E-Tracs
UBG	CMCI Gold TR ETN UBS E-Tracs
UBM	CMCI Industrial Mtls TR ETN UBS E-Tracs
UBN	CMCI Energy TR ETN UBS E-Tracs
UBR	Ultra MSCI Brazil Proshares
UBT	Ultra 20+ Year Treasury Proshares
UCC	Ultra Consumer Services Proshares
UCD	Ultra DJ-UBS Commodity Proshares
UCI	CMCI TR ETN UBS E-Tracs
UCO	Ultra DJ-UBS Crude Oil Proshares
UDN	DB US Dollar Index Bearish Powershares
UDNT	DB 3X Short US Dollar Fut ETN Powershares
UDOW	Ultrapro DOW 30 Proshares
UEC	Uranium Energy
UGA	US Gasoline
UGAZ	3X Long Natural Gas ETN Velocityshares
UGE	Ultra Consumer Goods Proshares
UGL	Ultra Gold Proshares
UGLD	3X Long Gold ETN Velocityshares
UHN	US Heating Oil
UINF	Ultrapro 10 Yr Tips/Tsy Sp Proshares
UJB	Ultra High Yield Proshares
UKF	Ultra Russell 1000 Growth Proshares
UKK	Ultra Russell 2000 Growth Proshares
UKW	Ultra Russell Midcap Growth Proshares
ULE	Ultra Euro Proshares
ULST	SPDR SSGA Ultra Short Term Bond
UMDD	Ultrapro Midcap 400 Proshares
UMX	Ultra MSCI Mexico Proshares
UNG	US Natural Gas
UNL	US 12 Month Natural Gas
UOIL	3X Long Brent Crude ETN Velocityshares
UPG	Universal Power Group Inc
UPRO	Ultrapro S&P 500 Proshares
UPV	Proshares Ultra FTSE Europe
UPW	Ultra Utilities Proshares
UQM	Uqm Technologies Inc
URA	G-X Uranium ETF
URE	Ultra Real Estate Proshares
URG	Ur Energy Inc
URR	Euro Double Long ETN Market Vectors
URTH	World Index MSCI Ishares
URTY	Ultrapro Russell 2000 Proshares
URZ	Uranerz Energy Corp.
USAG	US Agriculture Index
USCI	US Commodity Index
USD	Ultra Semiconductors Proshares
USL	US 12 Month Oil
USLV	3X Long Silver ETN Velocityshares
USMI	United States Metals Index Fund
USMV	USA Min Volatility MSCI Ishares
USO	US Oil
UST	Ultra 7-10 Year Treasury Proshares
USV	CMCI Silver TR ETN UBS E-Tracs
UTG	Reaves Utility
UTLT	DB X-Trackers Regulated Utiliti
UUP	DB US Dollar Index Bullish Powershares
UUPT	DB 3X Long US Dollar Fut ETN Powershares
UUU	Universal Security Instruments
UVE	Universal Insurance Holdings Inc
UVG	Ultra Russell 1000 Value Proshares
UVT	Ultra Russell 2000 Value Proshares
UVU	Ultra Russell Midcap Value Proshares
UVXY	Ultra VIX Short-Term Fut ETF Proshares
UWC	Ultra Russell 3000 Proshares
UWM	Ultra Russell 2000 Proshares
UWN	Nevada Gold & Casinos
UWTI	3X Long Crude ETN Velocityshares
UXI	Ultra Industrials Proshares
UXJ	Ultra MSCI Pacific Ex-Japan Proshares
UYG	Ultra Financials Proshares
UYM	Ultra Basic Materials Proshares
VAW	Materials ETF Vanguard
VB	Smallcap ETF Vanguard
VBK	Smallcap Growth ETF Vanguard
VBR	Smallcap Value ETF Vanguard
VCF	Delaware Colorado Muni Income Fund Inc
VCR	Consumer Discretionary ETF Vanguard
VDC	Consumer Staples ETF Vanguard
VDE	Energy ETF Vanguard
VEA	EAFE ETF MSCI Vanguard
VEGA	Advisorshares Star Global Buy-Write ETF
VEGI	Global Agriculture Prod MSCI Ishares
VEU	FTSE All-World Ex-US ETF Vanguard
VFH	Financial ETF Vanguard
VFL	Delaware Florida Insured Muni
VGK	Europe ETF FTSE Vanguard
VGT	Information Technology ETF Vanguard
VGZ	Vista Gold Corp.
VHC	Virnetx Holding Corp
VHT	Healthcare ETF Vanguard
VIG	Dividend Appreciation ETF Vanguard
VII	Vicon Industries Inc
VIIX	VIX Short-Term ETN Velocityshares
VIIZ	VIX Med-Term ETN Velocityshares
VIOG	S&P Smallcap 600 Gr Idx ETF Vanguard
VIOO	S&P Smallcap 600 Index ETF Vanguard
VIOV	S&P Smallcap 600 Value Idx ETF Vanguard
VIS	Industrials ETF Vanguard
VIXH	First Trust CBOE S&P 500 VIX Ta
VIXM	VIX Mid-Term Futures ETF Proshares
VIXY	VIX Short-Term Futures ETF Proshares
VKI	Invesco Advantage Muni Income Trust II
VLU	SPDR S&P 1500 Value Tilt ETF
VLUE	Ishares MSCI USA Value Factor
VMM	Delaware Minnesota Muni II
VNM	Vietnam ETF Market Vectors
VNQ	REIT Index ETF Vanguard
VO	Midcap ETF Vanguard
VOE	Midcap Value ETF Vanguard
VOO	S&P 500 ETF Vanguard
VOOG	S&P 500 Growth Index ETF Vanguard
VOOV	S&P 500 Value Index ETF Vanguard
VOT	Midcap Growth ETF Vanguard
VOX	Telecom Services ETF Vanguard
VPL	Pacific ETF FTSE Vanguard
VPU	Utilities ETF Vanguard
VQT	S&P 500 Dynamic Veqtor ETN Barclays
VRD	SPDR S&P Vrdo Municipal Bond
VSB	Vantagesouth Bancshares Inc.
VSPY	S&P 500 RC Vlty Res Direxion
VSR	Versar
VSS	FTSE All-World Ex-US Smcp Idx ETF Vanguard
VT	Total World Stock Index ETF Vanguard
VTG	Vantage Drilling Company
VTI	Total Stock Market ETF Vanguard
VTV	Value ETF Vanguard
VUG	Growth ETF Vanguard
VV	Largecap ETF Vanguard
VWO	Emrg Mkts ETF MSCI Vanguard
VXF	Extended Market Index ETF Vanguard
VXX	VIX Short-Term Futures ETN Ipath
VXZ	VIX Mid-Term Futures ETN Ipath
VYM	High Dividend Yield Indx ETF Vanguard
WDIV	SPDR S&P Global Dividend
WDTI	Managed Futures Wisdomtree
WEAT	Teucrium Wheat
WEET	Grains Pure Beta ETN Ipath
WGA	Wells-Gardner Electronics Corp.
WIP	SPDR DB Intl Govt Infl-Protected Bond
WITE	Physical White Metals Basket
WMCR	Microcap ETF Wilshire
WMW	Mstar Wide Moat Focus ETN Elements
WPS	S&P Dev Ex-US Property Index Ishares
WREI	US REIT ETF Wilshire
WRN	Western Copper Corp
WTT	Wireless Telecom Group Inc.
WYY	Widepoint Corp.
XAR	SPDR S&P Aerospace & Defense
XBI	SPDR S&P Biotech
XES	SPDR S&P Oil & Gas Equipment & Services
XHB	SPDR S&P Homebuilders
XHE	SPDR S&P Health Care Equipment
XHS	SPDR S&P Health Care Services
XIV	Daily Inverse VIX ST ETN Velocityshares
XLB	Materials Select Sector SPDR
XLE	Energy Select Sector SPDR
XLF	Financial Select Sector SPDR
XLG	Russell Top 50 Guggenheim
XLI	Industrial Select Sector SPDR
XLK	Technology Select Sector SPDR
XLP	Consumer Staples Select Sector SPDR
XLU	Utilities Select Sector SPDR
XLV	Healthcare Select Sector SPDR
XLY	Consumer Discret Select Sector SPDR
XME	SPDR S&P Metals & Mining
XMLV	Powershares S&P Midcap Low Vola
XMPT	CEF Municipal Income ETF Market Vectors
XOP	SPDR S&P Oil & Gas Exploration & Prod
XOVR	SPDR Bofa Merrill Lynch Crossov
XPH	SPDR S&P Pharmaceuticals
XPL	Solitario Exploration & Royalty Corp
XPP	Ultra FTSE China 25 Proshares
XRA	Exeter Resource Corp.
XRT	SPDR S&P Retail
XSD	SPDR S&P Semiconductor
XSLV	Powershares S&P Smallcap Low Vo
XSW	SPDR S&P Software & Services ETF
XTL	SPDR S&P Telecom
XTN	SPDR S&P Transportation
XVIX	Daily Long-Short VIX ETN UBS E-Tracs
XVZ	S&P 500 Dynamic VIX ETN Ipath
XXV	S&P 500 VIX Inverse S/T Fut ETN Ipath
YANG	China Bear 3X Direxion
YAO	China All-Cap Guggenheim
YCL	Ultra Yen Proshares
YCS	Ultrashort Yen Proshares
YINN	China Bull 3X Direxion
YMLI	Yorkville High Income Infrastru
YMLP	High Income MLP ETF Yorkville
YXI	Short FTSE China 25 Proshares
YYY	Yieldshares High Income ETF
ZBB	Zbb Energy Corporation
ZIV	Daily Inverse VIX Mt ETN Velocityshares
ZROZ	25+ Year Zero Cpn U.S. Trsy Idx ETF Pimco
ZSL	Ultrashort Silver Proshares
