Symbol	Description
DGAZ	3X Inverse Natural Gas ETN Velocityshares
DGL	DB Gold Powershares
DGLD	3X Inverse Gold ETN Velocityshares
DGP	DB Gold Double Long ETN Powershares
DGS	Emrg Mkts Smallcap Div Wisdomtree
DGSE	Dgse Companies Inc. Common Sto
DGT	SPDR Global DOW ETF
DGZ	DB Gold Short ETN Powershares
DHS	Equity Income Wisdomtree
DHY	Credit Suisse High Yield Bond Fund
DIA	SPDR DOW 30 ETF
DIG	Ultra Oil & Gas Proshares
DIM	Intl Midcap Dividend Wisdomtree
DIRT	Agriculture Pure Beta ETN Ipath
DIT	Amcon Distributing Company
DIV	Global X Super Dividend ETF
DJCI	DJ-UBS Commodity Idx TR ETN UBS E-Tracs
DJP	DJ-UBS Commodity Idx TR ETN Ipath
DLA	Delta Apparel
DLBL	US Trsy Long Bond Bull ETN Ipath
DLBS	US Trsy Long Bond Bear ETN Ipath
DLN	Largecap Dividend Wisdomtree
DLS	Intl Smallcap Dividend Wisdomtree
DMF	Dreyfus Muni Income
DNL	Global Ex-US Growth Wisdomtree
DNN	Intl Uranium Corp
DNO	US Short Oil
DOD	DJ High Yield Select 10 ETN Elements
DOG	Short DOW 30 Proshares
DOIL	3X Inverse Brent Crude ETN Velocityshares
DOL	Intl Largecap Dividend Wisdomtree
DON	Midcap Dividend Wisdomtree
DOO	Intl Div Ex-Financials Wisdomtree
DPK	Dev Mkts Bear 3X Direxion
DPU	DB Commodity Long ETN Powershares
DPW	Digital Power Corp.
DRGS	RBS Global Big Pharma ETN
DRN	Real Estate Bull 3X Direxion
DRR	Euro Double Short ETN Market Vectors
DRV	Real Estate Bear 3X Direxion
DRW	Global Ex-US Real Estate Wisdomtree
DSI	KLD 400 Social Index Ishares
DSLV	3X Inverse Silver ETN Velocityshares
DSS	Document Security Systems
DSUM	Chinese Yuan Dim Sum Bond Powershares
DTD	Total Dividend Wisdomtree
DTH	DEFA Equity Income Wisdomtree
DTN	Dividend Ex-Financials Wisdomtree
DTO	DB Crude Oil Dble Short ETN Powershares
DTUL	Ipath US Treasury 2 Yr Bull ETN
DTUS	US Trsy 2-Year Bear ETN Ipath
DTYL	US Trsy 10-Year Bull ETN Ipath
DTYS	US Trsy 10-Year Bear ETN Ipath
DUG	Ultrashort Oil & Gas Proshares
DUST	Gold Miners Bear 3X Direxion
DVHI	Etracs Diversified High Income
DVY	DJ Select Dividend Index Ishares
DVYA	Asia Pacific Dividend 30 Ishares
DVYE	Emrg Mkts Dividend Ishares
DVYL	2X Leveraged DJ Select Dividend ETN
DWAS	Powershares DWA Smallcap Momentum Portfolio
DWM	DEFA Wisdomtree
DWTI	3X Inverse Crude ETN Velocityshares
DWX	SPDR S&P Dividend International
DXD	Ultrashort DOW 30 Proshares
DXJ	Japan Hedged Equity Wisdomtree
DXR	Daxor Corp.
DYY	DB Commodity Dble Long ETN Powershares
DZK	Dev Mkts Bull 3X Direxion
DZZ	DB Gold Double Short ETN Powershares
EAD	Wells Fargo Advantage
EAPS	PAX EAFE ESG MSCI Index ETF
EBND	SPDR EM Local Bond ETF Barclays Capital
ECF	Ellsworth Convertible Growth And Income
ECH	Chile Investable Mkt Idx MSCI Ishares
ECNS	China Smallcap Index MSCI Ishares
ECON	Emrg Mkts Consumer Egshares
EDC	Emrg Mkts Bull 3X Direxion
EDEN	Denmark Capped Investable Mkt Idx Fd MSCI Ishare
EDIV	SPDR S&P Emrg Mkts Dividend
EDV	Extended Dur Trs Idx ETF Vanguard
EDZ	Emrg Mkts Bear 3X Direxion
EEB	BRIC Guggenheim
EEH	Spectrum Lg Cap U.S. Sector ETN Elements
EEHB	S&P Emrg Mkts High Beta Powershares
EELV	S&P Emrg Mkts Low Volatily Powershares
EEM	Emrg Mkts Index MSCI Ishares
EEMS	Emrg Mkts Smallcap MSCI Ishares
EEMV	Emrg Mkts Min Vol Idx MSCI Ishares
EES	Smallcap Earnings Wisdomtree
EET	Ultra MSCI Emrg Mkts Proshares
EEV	Ultrashort MSCI Emrg Mkts Proshares
EFA	EAFE Index MSCI Ishares
EFAV	EAFE Min Volatility MSCI Ishares
EFG	EAFE Growth Index MSCI Ishares
EFNL	Finland Cp Investable Mkt Indx Fund MSCI Ishares
EFO	Ultra MSCI EAFE Proshares
EFU	Ultrashort MSCI EAFE Proshares
EFV	EAFE Value Index MSCI Ishares
EFZ	Short EAFE MSCI Proshares
EGAS	Gas Natural Inc.
EGI	Entree Gold Inc
EGPT	Egypt Index ETF Market Vectors
EIA	Eaton Vance California Muni Bond II
EIDO	Indonesia Invstble Mkt Idx MSCI Ishares
EIM	Eaton Vance Muni Bond Fund
EIO	Eaton Vance Ohio Muni Bond Fund
EIP	Eaton Vance Pennsylvania Muni Bond
EIRL	Ireland Cppd Invstb Mkt Idx MSCI Ishares
EIS	Israel Cap Invest Mkt Index MSCI Ishares
EIV	Eaton Vance Muni Bond Fund II
ELD	Emrg Mkts Local Debt Wisdomtree
ELLO	Ellomay Capital Ltd Ordinary Sh
ELMD	Electromed
EMAN	Emagin Corp.
EMB	USD Emrg Mkts Bond Ishares
EMCD	SPDR Bofa Merrill Emerging Mark
EMCR	Egshares Emerging Markets Core
EMDD	Egshares Emerging Markets Domes
EMDG	Egshares Emerging Markets Divid
EMFM	Global X Next Emerging & Fronti
EMFT	SPDR MSCI EM 50 ETF
EMHD	Egshares EM Dividend High Incom
EMHY	Emrg Mkts High Yield Bond Fund Ishares
EMI	Eaton Vance Michigan Muni Income Trust
EMJ	Eaton Vance New Jersey Muni Bond
EMLB	Ipath Long Enhanced MSCI Emergi
EMLC	Emrg Mkts Local Curr Bond ETF Market Vectors
EMLP	First Trust North American Ener
EMXX	Eurasian Minerals
ENFR	Alerian Energy Infrastructure E
ENGN	Industrials Sector Bond Ishares
ENOR	Norway Capped Investable Mkt Idx Fd MSCI Ishares
ENX	Eaton Vance New York Muni Bond Fund
ENY	Canadian Energy Income Guggenheim
ENZL	New Zealand Invstb Mkt Idx MSCI Ishares
EOX	Emerald Oil Inc
EPHE	Philippines Invstb Mkt Idx MSCI Ishares
EPI	India Earnings Wisdomtree
EPM	Evolution Petroleum Corp.
EPM-A	Evolution Petroleum Corporation
EPOL	Poland Investable Mkt Index MSCI Ishares
EPP	Pacific Ex-Japan MSCI Ishares
EPS	Earnings 500 Wisdomtree
EPU	All Peru Capped Index MSCI Ishares
EPV	Proshares Ultrashort FTSE Europe
EQL	Alps Equal Sector Weight ETF
ERB	Erba Diagnostics Inc
ERC	Wells Fargo Advantage Multi-Sector
ERH	Wells Fargo Advantage Utilities And High
ERO	EUR/USD Exchange Rate ETN Ipath
ERUS	Russia Capped Index MSCI Ishares
ERX	Energy Bull 3X Direxion
ERY	Energy Bear 3X Direxion
ESBA	Empire State Realty Op L.P.
ESP	Espey Mfg. & Electronics
ESR	Emrg Mkts Eastern Europe MSCI Ishares
ESTE	Earthstone Energy
ETAK	Elephant Talk Commun
ETF	Aberdeen Emerging Markets Telecommunications
ETUA	Eunits 2 Year U.S. Market Parti
ETUB	Eunits 2 Year U.S. Market Part
EU	Euro Debt Wisdomtree
EUFX	Proshares Short Euro
EUM	Short Emrg Mkts MSCI Proshares
EUO	Ultrashort Euro Proshares
EUSA	USA Index MSCI Ishares
EVBN	Evans Bancorp
EVI	Envirostarm
EVJ	Eaton Vance New Jersey Muni Income Trust
EVK	Ever-Glory International Group
EVM	Eaton Vance California Muni Bond Fund
EVO	Eaton Vance Ohio Muni Income Trust
EVP	Eaton Vance Pennsylvania Muni Income Trust
EVV	Eaton Vance Limited Duration
EVX	Environmental Svcs ETF Market Vectors
EVY	Eaton Vance New York Muni Income Trust
EWA	Australia Index MSCI Ishares
EWAS	Australia Smallcap Index Fund MSCI Ishares
EWC	Canada Index MSCI Ishares
EWCS	Canada Smallcap Index Fund MSCI Ishares
EWD	Sweden Index MSCI Ishares
EWEM	Emrg Mkts Eq Wt MSCI Guggenheim
EWG	Germany Index MSCI Ishares
EWGS	Germany Smallcap Index Fund MSCI Ishares
EWH	Hong Kong Index MSCI Ishares
EWHS	Hong Kong Smallcap MSCI Ishares
EWI	Italy Index MSCI Ishares
EWJ	Japan Index MSCI Ishares
EWK	Belgium Investable Mkt Idx MSCI Ishares
EWL	Switzerland Index MSCI Ishares
EWM	Malaysia Index MSCI Ishares
EWN	Netherlands Invstbl Mkt Idx MSCI Ishares
EWO	Austria Investable Mkt Idx MSCI Ishares
EWP	Spain Index MSCI Ishares
EWQ	France Index MSCI Ishares
EWRI	Russell 1000 Equal Weight Guggenheim
EWRM	Russell Midcap Equal Weight Guggenheim
EWRS	Russell 2000 Equal Weight Guggenheim
EWS	Singapore Index MSCI Ishares
EWSS	Singapore Smallcap Fund MSCI Ishares
EWT	Taiwan Index MSCI Ishares
EWU	United Kingdom Index MSCI Ishares
EWUS	United Kingdom Smallcap Index Fund MSCI Ishares
EWV	Ultrashort MSCI Japan Proshares
EWW	Mexico Investable Mkt Idx MSCI Ishares
EWX	SPDR S&P Emrg Mkts Smallcap
EWY	South Korea Index MSCI Ishares
EWZ	Brazil Index MSCI Ishares
EWZS	Brazil Smallcap Index MSCI Ishares
EXE	Crexendo Inc
EXI	S&P Global Industrials Ishares
EXT	Total Earnings Wisdomtree
EZA	South Africa Index MSCI Ishares
EZJ	Ultra MSCI Japan Proshares
EZM	Midcap Earnings Wisdomtree
EZU	EMU Index MSCI Ishares
EZY	Largecap Value Wisdomtree
FAB	Multi Cap Value Alphadex First Trust
FAD	Multi Cap Growth Alphadex First Trust
FAN	Global Wind Energy First Trust
FAS	Financial Bull 3X Direxion
FAUS	Australia Alphadex First Trust
FAX	Aberdeen Asia-Pacific
FAZ	Financial Bear 3X Direxion
FBG	Fisher Enhanced Big Cap Growth
FBT	NYSE Arca Biotech Index First Trust
FBZ	Brazil Alphadex First Trust
FCA	China Alphadex First Trust
FCAN	Canada Alphadex First Trust
FCG	ISE Revere Natural Gas First Trust
FCO	Aberdeen Global
FCOM	Fidelity MSCI Telecommunication
FCSC	Fibrocell Science
FDD	Stoxx Euro Select Div First Trust
FDIS	Fidelity MSCI Consumer Discreti
FDL	Mstar Div Leaders First Trust
FDM	DJ Select Microcap First Trust
FDN	DJ Internet Index First Trust
FDT	Dev Mkts Ex-US Alphadex First Trust
FDTS	Dev Mkts Ex-US SC Alphadex First Trust
FEEU	Barclays ETN Fi Enhanced Europe
FEM	Emrg Mkts Alphadex First Trust
FEMS	Emrg Mkts SC Alphadex First Trust
FEN	Energy Income And Growth Fund
FENY	Fidelity MSCI Energy Index ETF
FEP	Europe Alphadex First Trust
FEU	SPDR Stoxx Europe 50
FEX	Largecap Core Alphadex First Trust
FEZ	SPDR Euro Stoxx 50
FFR	FTSE En Dev Mkts Rel Est First Trust
FGD	DJ Global Select Dividend First Trust
FGM	Germany Alphadex First Trust
FHK	Hong Kong Alphadex First Trust
FHLC	Fidelity MSCI Health Care Index
FIBG	CS Fi Enhanced Big Cap Growth E
FIDU	Fidelity MSCI Industrials Index
FIEG	Fi Enhanced Gloabl High Yield E
FIEU	Fi Enhanced Europe 50 ETN
FIGY	Barclays ETN Fi Enhanced Global
FILL	Global Energy Producers MSCI Ishares
FINF	Short 30 Year Tips/Tsy Spread Proshares
FINU	Proshares Ultrapro Financials
FINZ	Proshares Ultrapro Short Financ
FISK	Empire State Realty Op L.P. Se
FIVZ	3-7 Year U.S. Treasury Index ETF Pimco
FIW	ISE Water Idx First Trust
FJP	Japan Alphadex First Trust
FKO	South Korea Alphadex First Trust
FKU	United Kingdom Alphadex First Trust
FLAG	Forensic Accounting Exchange TR
FLAT	US Trsy Flattener ETN Ipath
FLM	ISE Glbl Engnrg & Const First Trust
FLN	Latin America Alphadex First Trust
FLOT	Floating Rate Note Ishares
FLRN	SPDR Inv Gr Floating Rt ETF Barclays Capital
FLTR	Market Vectors Investment Grade
FM	Fleetmatics Group Plc.
FMAT	Fidelity MSCI Materials Index E
FMF	First Trust Morningstar Managed
FMK	Megacap Alphadex First Trust
FNCL	Fidelity MSCI Financials Index
FNDA	Schwab Fundamental U.S. Small C
FNDB	Schwab Fundamental U.S. Broad M
FNDC	Schwab Fundamental Internationa
FNDE	Schwab Fundamental Emerging Mar
FNDF	Schwab Fundamental Internationa
FNDX	Schwab Fundamental U.S. Large C
FNI	ISE Chindia First Trust
FNIO	FTSE Nareit Industrl/Offc Cp Idx Ishares
FNK	Midcap Value Alphadex First Trust
FNX	Midcap Core Alphadex First Trust
FNY	Midcap Growth Alphadex First Trust
FOIL	Aluminum Pure Beta ETN Ipath
FOL	Oil Bull S&P 500 Bear Factorshares
FORX	Pimco Foreign Currency Strategy
FPA	Asia Pacific Ex-Jap Alphadex First Trust
FPE	First Trust Preferred Securitie
FPP	Fieldpoint Petroleum Corp.
FPP.W	Fieldpoint Petroleum Warrant
FPX	US Ipo Index First Trust
FRAK	Unconventl Oil & Gas ETF Market Vectors
FRD	Friedman Industries Inc.
FRI	S&P REIT Index First Trust
FRN	Frontier Markets Guggenheim
FRS	Frisch's Restaurants
FSA	2X Tbond Bull S&P 500 Bear Factorshares
FSE	2X S&P 500 Bull T-Bond Bear Factorshares
FSG	2X Gold Bull S&P 500 Bear Factorshares
FSI	Flexible Solutions International Inc.
FSP	Franklin Street Properties
FSTA	Fidelity MSCI Consumer Staples
FSU	2X S&P 500 Bull USD Bear Factorshares
FSZ	Switzerland Alphadex First Trust
FTA	Largecap Value Opp Alphadex First Trust
FTC	Largecap Growth Opp Alphadex First Trust
